topic,type,value,source,source_url
Basic AI interaction,Desired training,32,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Basic AI interaction,Current training offered,15,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Continuous learning,Desired training,29,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Continuous learning,Current training offered,12,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Utilising simple AI agents,Desired training,24,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Utilising simple AI agents,Current training offered,9,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Ethical AI use,Desired training,24,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Ethical AI use,Current training offered,9,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Creating basic prompts,Desired training,23,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
Creating basic prompts,Current training offered,9,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
