group,value,category,source,source_url
Students,78.9,Study/work role,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
18–34 year olds,69.1,Age,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Professionals,67.9,Occupation,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Bachelor degree,62.0,Education,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Language other than English at home,58.8,Language,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Managers,52.2,Occupation,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
English-only speakers,41.4,Language,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Completed high school,37.2,Education,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
People with disability,33.9,Demographic,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Labourers,31.8,Occupation,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Machinery operators,26.7,Occupation,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
65–74 year olds,15.5,Age,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
Left school at Year 10,4.2,Education,Australian Digital Inclusion Index 2025,https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/
